Date,Day,status_country,counts
11/11/2014,234,Cases_Liberia,
11/10/2014,233,Cases_Liberia,6878.0
11/9/2014,232,Cases_Liberia,
11/8/2014,231,Cases_Liberia,6822.0
11/4/2014,227,Cases_Liberia,6619.0
11/3/2014,226,Cases_Liberia,
11/2/2014,225,Cases_Liberia,
10/31/2014,222,Cases_Liberia,6525.0
10/29/2014,220,Cases_Liberia,
10/27/2014,218,Cases_Liberia,
10/25/2014,216,Cases_Liberia,6535.0
10/22/2014,214,Cases_Liberia,
10/21/2014,213,Cases_Liberia,
10/19/2014,211,Cases_Liberia,
10/18/2014,210,Cases_Liberia,4665.0
10/14/2014,206,Cases_Liberia,
10/13/2014,205,Cases_Liberia,4262.0
10/12/2014,204,Cases_Liberia,
10/11/2014,203,Cases_Liberia,4249.0
10/8/2014,200,Cases_Liberia,
10/7/2014,199,Cases_Liberia,4076.0
10/5/2014,197,Cases_Liberia,
10/4/2014,196,Cases_Liberia,3924.0
10/1/2014,193,Cases_Liberia,3834.0
9/28/2014,190,Cases_Liberia,3696.0
9/23/2014,185,Cases_Liberia,3458.0
9/21/2014,183,Cases_Liberia,3280.0
9/20/2014,182,Cases_Liberia,
9/19/2014,181,Cases_Liberia,
9/17/2014,179,Cases_Liberia,3022.0
9/14/2014,176,Cases_Liberia,2710.0
9/13/2014,175,Cases_Liberia,
9/10/2014,172,Cases_Liberia,
9/9/2014,171,Cases_Liberia,2407.0
9/7/2014,169,Cases_Liberia,2081.0
9/5/2014,167,Cases_Liberia,1871.0
8/31/2014,162,Cases_Liberia,1698.0
8/26/2014,157,Cases_Liberia,1378.0
8/20/2014,151,Cases_Liberia,1082.0
8/18/2014,149,Cases_Liberia,972.0
8/16/2014,147,Cases_Liberia,834.0
8/13/2014,144,Cases_Liberia,786.0
8/11/2014,142,Cases_Liberia,670.0
8/9/2014,140,Cases_Liberia,599.0
8/6/2014,137,Cases_Liberia,554.0
8/4/2014,135,Cases_Liberia,516.0
8/1/2014,132,Cases_Liberia,468.0
7/30/2014,129,Cases_Liberia,391.0
7/27/2014,126,Cases_Liberia,329.0
7/23/2014,123,Cases_Liberia,249.0
7/20/2014,120,Cases_Liberia,224.0
7/17/2014,117,Cases_Liberia,196.0
7/14/2014,114,Cases_Liberia,174.0
7/12/2014,112,Cases_Liberia,172.0
7/8/2014,108,Cases_Liberia,142.0
7/6/2014,106,Cases_Liberia,131.0
7/2/2014,102,Cases_Liberia,115.0
6/30/2014,100,Cases_Liberia,107.0
6/22/2014,92,Cases_Liberia,51.0
6/20/2014,90,Cases_Liberia,
6/19/2014,89,Cases_Liberia,41.0
6/18/2014,88,Cases_Liberia,
6/17/2014,87,Cases_Liberia,
6/16/2014,86,Cases_Liberia,33.0
6/10/2014,80,Cases_Liberia,13.0
6/5/2014,75,Cases_Liberia,13.0
6/3/2014,73,Cases_Liberia,13.0
6/1/2014,71,Cases_Liberia,13.0
5/28/2014,67,Cases_Liberia,13.0
5/27/2014,66,Cases_Liberia,12.0
5/23/2014,62,Cases_Liberia,12.0
5/12/2014,51,Cases_Liberia,12.0
5/10/2014,49,Cases_Liberia,12.0
5/7/2014,46,Cases_Liberia,13.0
5/5/2014,44,Cases_Liberia,13.0
5/3/2014,42,Cases_Liberia,13.0
5/1/2014,40,Cases_Liberia,13.0
4/26/2014,35,Cases_Liberia,
4/24/2014,33,Cases_Liberia,35.0
4/23/2014,32,Cases_Liberia,
4/22/2014,31,Cases_Liberia,
4/21/2014,30,Cases_Liberia,34.0
4/20/2014,29,Cases_Liberia,
4/17/2014,26,Cases_Liberia,27.0
4/16/2014,25,Cases_Liberia,27.0
4/15/2014,24,Cases_Liberia,
4/14/2014,23,Cases_Liberia,
4/11/2014,20,Cases_Liberia,26.0
4/9/2014,18,Cases_Liberia,25.0
4/7/2014,16,Cases_Liberia,21.0
4/4/2014,13,Cases_Liberia,18.0
4/1/2014,10,Cases_Liberia,8.0
3/31/2014,9,Cases_Liberia,8.0
3/29/2014,7,Cases_Liberia,7.0
3/28/2014,6,Cases_Liberia,3.0
3/27/2014,5,Cases_Liberia,8.0
3/26/2014,4,Cases_Liberia,
3/25/2014,3,Cases_Liberia,
3/24/2014,2,Cases_Liberia,
3/22/2014,0,Cases_Liberia,
1/5/2015,289,Cases_SierraLeone,10030.0
1/4/2015,288,Cases_SierraLeone,9780.0
1/3/2015,287,Cases_SierraLeone,9722.0
1/2/2015,286,Cases_SierraLeone,
12/31/2014,284,Cases_SierraLeone,9633.0
12/28/2014,281,Cases_SierraLeone,9446.0
12/27/2014,280,Cases_SierraLeone,9409.0
12/24/2014,277,Cases_SierraLeone,9203.0
12/21/2014,273,Cases_SierraLeone,9004.0
12/20/2014,272,Cases_SierraLeone,8939.0
12/18/2014,271,Cases_SierraLeone,
12/14/2014,267,Cases_SierraLeone,8356.0
12/9/2014,262,Cases_SierraLeone,
12/7/2014,260,Cases_SierraLeone,7897.0
12/3/2014,256,Cases_SierraLeone,
11/30/2014,253,Cases_SierraLeone,7312.0
11/28/2014,251,Cases_SierraLeone,
11/23/2014,246,Cases_SierraLeone,6599.0
11/22/2014,245,Cases_SierraLeone,
11/18/2014,241,Cases_SierraLeone,6190.0
11/16/2014,239,Cases_SierraLeone,6073.0
11/15/2014,238,Cases_SierraLeone,
11/11/2014,234,Cases_SierraLeone,5586.0
11/10/2014,233,Cases_SierraLeone,
11/9/2014,232,Cases_SierraLeone,5368.0
11/8/2014,231,Cases_SierraLeone,
11/4/2014,227,Cases_SierraLeone,4862.0
11/3/2014,226,Cases_SierraLeone,
11/2/2014,225,Cases_SierraLeone,4759.0
10/31/2014,222,Cases_SierraLeone,
10/29/2014,220,Cases_SierraLeone,5338.0
10/27/2014,218,Cases_SierraLeone,5235.0
10/25/2014,216,Cases_SierraLeone,
10/22/2014,214,Cases_SierraLeone,3896.0
10/21/2014,213,Cases_SierraLeone,
10/19/2014,211,Cases_SierraLeone,3706.0
10/18/2014,210,Cases_SierraLeone,
10/14/2014,206,Cases_SierraLeone,3410.0
10/13/2014,205,Cases_SierraLeone,
10/12/2014,204,Cases_SierraLeone,3252.0
10/11/2014,203,Cases_SierraLeone,
10/8/2014,200,Cases_SierraLeone,2950.0
10/7/2014,199,Cases_SierraLeone,
10/5/2014,197,Cases_SierraLeone,2789.0
10/4/2014,196,Cases_SierraLeone,
10/1/2014,193,Cases_SierraLeone,2437.0
9/28/2014,190,Cases_SierraLeone,2304.0
9/23/2014,185,Cases_SierraLeone,2021.0
9/21/2014,183,Cases_SierraLeone,1940.0
9/20/2014,182,Cases_SierraLeone,1813.0
9/19/2014,181,Cases_SierraLeone,
9/17/2014,179,Cases_SierraLeone,
9/14/2014,176,Cases_SierraLeone,1673.0
9/13/2014,175,Cases_SierraLeone,1620.0
9/10/2014,172,Cases_SierraLeone,1478.0
9/9/2014,171,Cases_SierraLeone,
9/7/2014,169,Cases_SierraLeone,1424.0
9/5/2014,167,Cases_SierraLeone,1261.0
8/31/2014,162,Cases_SierraLeone,1216.0
8/26/2014,157,Cases_SierraLeone,1026.0
8/20/2014,151,Cases_SierraLeone,910.0
8/18/2014,149,Cases_SierraLeone,907.0
8/16/2014,147,Cases_SierraLeone,848.0
8/13/2014,144,Cases_SierraLeone,810.0
8/11/2014,142,Cases_SierraLeone,783.0
8/9/2014,140,Cases_SierraLeone,730.0
8/6/2014,137,Cases_SierraLeone,717.0
8/4/2014,135,Cases_SierraLeone,691.0
8/1/2014,132,Cases_SierraLeone,646.0
7/30/2014,129,Cases_SierraLeone,574.0
7/27/2014,126,Cases_SierraLeone,533.0
7/23/2014,123,Cases_SierraLeone,525.0
7/20/2014,120,Cases_SierraLeone,454.0
7/17/2014,117,Cases_SierraLeone,442.0
7/14/2014,114,Cases_SierraLeone,397.0
7/12/2014,112,Cases_SierraLeone,386.0
7/8/2014,108,Cases_SierraLeone,337.0
7/6/2014,106,Cases_SierraLeone,305.0
7/2/2014,102,Cases_SierraLeone,252.0
6/30/2014,100,Cases_SierraLeone,239.0
6/22/2014,92,Cases_SierraLeone,
6/20/2014,90,Cases_SierraLeone,158.0
6/19/2014,89,Cases_SierraLeone,
6/18/2014,88,Cases_SierraLeone,136.0
6/17/2014,87,Cases_SierraLeone,97.0
6/16/2014,86,Cases_SierraLeone,
6/10/2014,80,Cases_SierraLeone,89.0
6/5/2014,75,Cases_SierraLeone,81.0
6/3/2014,73,Cases_SierraLeone,
6/1/2014,71,Cases_SierraLeone,79.0
5/28/2014,67,Cases_SierraLeone,50.0
5/27/2014,66,Cases_SierraLeone,16.0
5/23/2014,62,Cases_SierraLeone,0.0
5/12/2014,51,Cases_SierraLeone,0.0
5/10/2014,49,Cases_SierraLeone,0.0
5/7/2014,46,Cases_SierraLeone,0.0
5/5/2014,44,Cases_SierraLeone,0.0
5/3/2014,42,Cases_SierraLeone,0.0
5/1/2014,40,Cases_SierraLeone,0.0
4/26/2014,35,Cases_SierraLeone,0.0
4/24/2014,33,Cases_SierraLeone,0.0
4/23/2014,32,Cases_SierraLeone,0.0
4/22/2014,31,Cases_SierraLeone,0.0
4/21/2014,30,Cases_SierraLeone,
4/20/2014,29,Cases_SierraLeone,
4/17/2014,26,Cases_SierraLeone,
4/16/2014,25,Cases_SierraLeone,
4/15/2014,24,Cases_SierraLeone,12.0
4/14/2014,23,Cases_SierraLeone,
4/11/2014,20,Cases_SierraLeone,2.0
4/9/2014,18,Cases_SierraLeone,2.0
4/7/2014,16,Cases_SierraLeone,2.0
4/4/2014,13,Cases_SierraLeone,2.0
4/1/2014,10,Cases_SierraLeone,2.0
3/31/2014,9,Cases_SierraLeone,2.0
3/29/2014,7,Cases_SierraLeone,
3/28/2014,6,Cases_SierraLeone,2.0
3/27/2014,5,Cases_SierraLeone,6.0
3/26/2014,4,Cases_SierraLeone,
3/25/2014,3,Cases_SierraLeone,
3/24/2014,2,Cases_SierraLeone,
3/22/2014,0,Cases_SierraLeone,
1/5/2015,289,Cases_Nigeria,
1/4/2015,288,Cases_Nigeria,
1/3/2015,287,Cases_Nigeria,
1/2/2015,286,Cases_Nigeria,
12/31/2014,284,Cases_Nigeria,
12/28/2014,281,Cases_Nigeria,
12/27/2014,280,Cases_Nigeria,
12/24/2014,277,Cases_Nigeria,
12/21/2014,273,Cases_Nigeria,
12/20/2014,272,Cases_Nigeria,
12/18/2014,271,Cases_Nigeria,
12/14/2014,267,Cases_Nigeria,
12/9/2014,262,Cases_Nigeria,
12/7/2014,260,Cases_Nigeria,20.0
12/3/2014,256,Cases_Nigeria,
11/30/2014,253,Cases_Nigeria,20.0
11/28/2014,251,Cases_Nigeria,
11/23/2014,246,Cases_Nigeria,20.0
11/22/2014,245,Cases_Nigeria,
11/18/2014,241,Cases_Nigeria,20.0
11/16/2014,239,Cases_Nigeria,20.0
11/15/2014,238,Cases_Nigeria,
11/11/2014,234,Cases_Nigeria,20.0
11/10/2014,233,Cases_Nigeria,
11/9/2014,232,Cases_Nigeria,20.0
11/8/2014,231,Cases_Nigeria,
11/4/2014,227,Cases_Nigeria,20.0
11/3/2014,226,Cases_Nigeria,
11/2/2014,225,Cases_Nigeria,20.0
10/31/2014,222,Cases_Nigeria,
10/29/2014,220,Cases_Nigeria,20.0
10/27/2014,218,Cases_Nigeria,20.0
10/25/2014,216,Cases_Nigeria,
10/22/2014,214,Cases_Nigeria,
10/21/2014,213,Cases_Nigeria,
10/19/2014,211,Cases_Nigeria,20.0
10/18/2014,210,Cases_Nigeria,
10/14/2014,206,Cases_Nigeria,20.0
10/13/2014,205,Cases_Nigeria,
10/12/2014,204,Cases_Nigeria,20.0
10/11/2014,203,Cases_Nigeria,
10/8/2014,200,Cases_Nigeria,20.0
10/7/2014,199,Cases_Nigeria,
10/5/2014,197,Cases_Nigeria,20.0
10/4/2014,196,Cases_Nigeria,
10/1/2014,193,Cases_Nigeria,20.0
9/28/2014,190,Cases_Nigeria,20.0
9/23/2014,185,Cases_Nigeria,20.0
9/21/2014,183,Cases_Nigeria,20.0
9/20/2014,182,Cases_Nigeria,
9/19/2014,181,Cases_Nigeria,
9/17/2014,179,Cases_Nigeria,
9/14/2014,176,Cases_Nigeria,
9/13/2014,175,Cases_Nigeria,21.0
9/10/2014,172,Cases_Nigeria,21.0
9/9/2014,171,Cases_Nigeria,
9/7/2014,169,Cases_Nigeria,21.0
9/5/2014,167,Cases_Nigeria,22.0
8/31/2014,162,Cases_Nigeria,21.0
8/26/2014,157,Cases_Nigeria,17.0
8/20/2014,151,Cases_Nigeria,16.0
8/18/2014,149,Cases_Nigeria,15.0
8/16/2014,147,Cases_Nigeria,15.0
8/13/2014,144,Cases_Nigeria,12.0
8/11/2014,142,Cases_Nigeria,12.0
8/9/2014,140,Cases_Nigeria,13.0
8/6/2014,137,Cases_Nigeria,13.0
8/4/2014,135,Cases_Nigeria,9.0
8/1/2014,132,Cases_Nigeria,4.0
7/30/2014,129,Cases_Nigeria,3.0
7/27/2014,126,Cases_Nigeria,1.0
7/23/2014,123,Cases_Nigeria,0.0
7/20/2014,120,Cases_Nigeria,
7/17/2014,117,Cases_Nigeria,
7/14/2014,114,Cases_Nigeria,
7/12/2014,112,Cases_Nigeria,
7/8/2014,108,Cases_Nigeria,
7/6/2014,106,Cases_Nigeria,
7/2/2014,102,Cases_Nigeria,
6/30/2014,100,Cases_Nigeria,
6/22/2014,92,Cases_Nigeria,
6/20/2014,90,Cases_Nigeria,
6/19/2014,89,Cases_Nigeria,
6/18/2014,88,Cases_Nigeria,
6/17/2014,87,Cases_Nigeria,
6/16/2014,86,Cases_Nigeria,
6/10/2014,80,Cases_Nigeria,
6/5/2014,75,Cases_Nigeria,
6/3/2014,73,Cases_Nigeria,
6/1/2014,71,Cases_Nigeria,
5/28/2014,67,Cases_Nigeria,
5/27/2014,66,Cases_Nigeria,
5/23/2014,62,Cases_Nigeria,
5/12/2014,51,Cases_Nigeria,
5/10/2014,49,Cases_Nigeria,
5/7/2014,46,Cases_Nigeria,
5/5/2014,44,Cases_Nigeria,
5/3/2014,42,Cases_Nigeria,
5/1/2014,40,Cases_Nigeria,
4/26/2014,35,Cases_Nigeria,
4/24/2014,33,Cases_Nigeria,
4/23/2014,32,Cases_Nigeria,
4/22/2014,31,Cases_Nigeria,
4/21/2014,30,Cases_Nigeria,
4/20/2014,29,Cases_Nigeria,
4/17/2014,26,Cases_Nigeria,
4/16/2014,25,Cases_Nigeria,
4/15/2014,24,Cases_Nigeria,
4/14/2014,23,Cases_Nigeria,
4/11/2014,20,Cases_Nigeria,
4/9/2014,18,Cases_Nigeria,
4/7/2014,16,Cases_Nigeria,
4/4/2014,13,Cases_Nigeria,
4/1/2014,10,Cases_Nigeria,
3/31/2014,9,Cases_Nigeria,
3/29/2014,7,Cases_Nigeria,
3/28/2014,6,Cases_Nigeria,
3/27/2014,5,Cases_Nigeria,
3/26/2014,4,Cases_Nigeria,
3/25/2014,3,Cases_Nigeria,
3/24/2014,2,Cases_Nigeria,
3/22/2014,0,Cases_Nigeria,
1/5/2015,289,Cases_Senegal,
1/4/2015,288,Cases_Senegal,
1/3/2015,287,Cases_Senegal,
1/2/2015,286,Cases_Senegal,
12/31/2014,284,Cases_Senegal,
12/28/2014,281,Cases_Senegal,
12/27/2014,280,Cases_Senegal,
12/24/2014,277,Cases_Senegal,
12/21/2014,273,Cases_Senegal,
12/20/2014,272,Cases_Senegal,
12/18/2014,271,Cases_Senegal,
12/14/2014,267,Cases_Senegal,
12/9/2014,262,Cases_Senegal,
12/7/2014,260,Cases_Senegal,1.0
12/3/2014,256,Cases_Senegal,
11/30/2014,253,Cases_Senegal,1.0
11/28/2014,251,Cases_Senegal,
11/23/2014,246,Cases_Senegal,1.0
11/22/2014,245,Cases_Senegal,
11/18/2014,241,Cases_Senegal,1.0
11/16/2014,239,Cases_Senegal,1.0
11/15/2014,238,Cases_Senegal,
11/11/2014,234,Cases_Senegal,1.0
11/10/2014,233,Cases_Senegal,
11/9/2014,232,Cases_Senegal,1.0
11/8/2014,231,Cases_Senegal,
11/4/2014,227,Cases_Senegal,1.0
11/3/2014,226,Cases_Senegal,
11/2/2014,225,Cases_Senegal,1.0
10/31/2014,222,Cases_Senegal,
10/29/2014,220,Cases_Senegal,1.0
10/27/2014,218,Cases_Senegal,1.0
10/25/2014,216,Cases_Senegal,
10/22/2014,214,Cases_Senegal,
10/21/2014,213,Cases_Senegal,
10/19/2014,211,Cases_Senegal,1.0
10/18/2014,210,Cases_Senegal,
10/14/2014,206,Cases_Senegal,1.0
10/13/2014,205,Cases_Senegal,
10/12/2014,204,Cases_Senegal,1.0
10/11/2014,203,Cases_Senegal,
10/8/2014,200,Cases_Senegal,1.0
10/7/2014,199,Cases_Senegal,
10/5/2014,197,Cases_Senegal,1.0
10/4/2014,196,Cases_Senegal,
10/1/2014,193,Cases_Senegal,1.0
9/28/2014,190,Cases_Senegal,1.0
9/23/2014,185,Cases_Senegal,1.0
9/21/2014,183,Cases_Senegal,1.0
9/20/2014,182,Cases_Senegal,
9/19/2014,181,Cases_Senegal,
9/17/2014,179,Cases_Senegal,
9/14/2014,176,Cases_Senegal,
9/13/2014,175,Cases_Senegal,1.0
9/10/2014,172,Cases_Senegal,1.0
9/9/2014,171,Cases_Senegal,
9/7/2014,169,Cases_Senegal,3.0
9/5/2014,167,Cases_Senegal,1.0
8/31/2014,162,Cases_Senegal,1.0
8/26/2014,157,Cases_Senegal,
8/20/2014,151,Cases_Senegal,
8/18/2014,149,Cases_Senegal,
8/16/2014,147,Cases_Senegal,
8/13/2014,144,Cases_Senegal,
8/11/2014,142,Cases_Senegal,
8/9/2014,140,Cases_Senegal,
8/6/2014,137,Cases_Senegal,
8/4/2014,135,Cases_Senegal,
8/1/2014,132,Cases_Senegal,
7/30/2014,129,Cases_Senegal,
7/27/2014,126,Cases_Senegal,
7/23/2014,123,Cases_Senegal,
7/20/2014,120,Cases_Senegal,
7/17/2014,117,Cases_Senegal,
7/14/2014,114,Cases_Senegal,
7/12/2014,112,Cases_Senegal,
7/8/2014,108,Cases_Senegal,
7/6/2014,106,Cases_Senegal,
7/2/2014,102,Cases_Senegal,
6/30/2014,100,Cases_Senegal,
6/22/2014,92,Cases_Senegal,
6/20/2014,90,Cases_Senegal,
6/19/2014,89,Cases_Senegal,
6/18/2014,88,Cases_Senegal,
6/17/2014,87,Cases_Senegal,
6/16/2014,86,Cases_Senegal,
6/10/2014,80,Cases_Senegal,
6/5/2014,75,Cases_Senegal,
6/3/2014,73,Cases_Senegal,
6/1/2014,71,Cases_Senegal,
5/28/2014,67,Cases_Senegal,
5/27/2014,66,Cases_Senegal,
5/23/2014,62,Cases_Senegal,
5/12/2014,51,Cases_Senegal,
5/10/2014,49,Cases_Senegal,
5/7/2014,46,Cases_Senegal,
5/5/2014,44,Cases_Senegal,
5/3/2014,42,Cases_Senegal,
5/1/2014,40,Cases_Senegal,
4/26/2014,35,Cases_Senegal,
4/24/2014,33,Cases_Senegal,
4/23/2014,32,Cases_Senegal,
4/22/2014,31,Cases_Senegal,
4/21/2014,30,Cases_Senegal,
4/20/2014,29,Cases_Senegal,
4/17/2014,26,Cases_Senegal,
4/16/2014,25,Cases_Senegal,
4/15/2014,24,Cases_Senegal,
4/14/2014,23,Cases_Senegal,
4/11/2014,20,Cases_Senegal,
4/9/2014,18,Cases_Senegal,
4/7/2014,16,Cases_Senegal,
4/4/2014,13,Cases_Senegal,
4/1/2014,10,Cases_Senegal,
3/31/2014,9,Cases_Senegal,
3/29/2014,7,Cases_Senegal,
3/28/2014,6,Cases_Senegal,
3/27/2014,5,Cases_Senegal,
3/26/2014,4,Cases_Senegal,
3/25/2014,3,Cases_Senegal,
3/24/2014,2,Cases_Senegal,
3/22/2014,0,Cases_Senegal,
1/5/2015,289,Cases_UnitedStates,
1/4/2015,288,Cases_UnitedStates,
1/3/2015,287,Cases_UnitedStates,
1/2/2015,286,Cases_UnitedStates,
12/31/2014,284,Cases_UnitedStates,
12/28/2014,281,Cases_UnitedStates,
12/27/2014,280,Cases_UnitedStates,
12/24/2014,277,Cases_UnitedStates,
12/21/2014,273,Cases_UnitedStates,
12/20/2014,272,Cases_UnitedStates,
12/18/2014,271,Cases_UnitedStates,
12/14/2014,267,Cases_UnitedStates,
12/9/2014,262,Cases_UnitedStates,
12/7/2014,260,Cases_UnitedStates,4.0
12/3/2014,256,Cases_UnitedStates,
11/30/2014,253,Cases_UnitedStates,4.0
11/28/2014,251,Cases_UnitedStates,
11/23/2014,246,Cases_UnitedStates,4.0
11/22/2014,245,Cases_UnitedStates,
11/18/2014,241,Cases_UnitedStates,4.0
11/16/2014,239,Cases_UnitedStates,4.0
11/15/2014,238,Cases_UnitedStates,
11/11/2014,234,Cases_UnitedStates,4.0
11/10/2014,233,Cases_UnitedStates,
11/9/2014,232,Cases_UnitedStates,4.0
11/8/2014,231,Cases_UnitedStates,
11/4/2014,227,Cases_UnitedStates,4.0
11/3/2014,226,Cases_UnitedStates,
11/2/2014,225,Cases_UnitedStates,4.0
10/31/2014,222,Cases_UnitedStates,
10/29/2014,220,Cases_UnitedStates,4.0
10/27/2014,218,Cases_UnitedStates,4.0
10/25/2014,216,Cases_UnitedStates,
10/22/2014,214,Cases_UnitedStates,4.0
10/21/2014,213,Cases_UnitedStates,
10/19/2014,211,Cases_UnitedStates,3.0
10/18/2014,210,Cases_UnitedStates,
10/14/2014,206,Cases_UnitedStates,3.0
10/13/2014,205,Cases_UnitedStates,
10/12/2014,204,Cases_UnitedStates,2.0
10/11/2014,203,Cases_UnitedStates,
10/8/2014,200,Cases_UnitedStates,1.0
